 NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    4.70  16.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00 520.00 520.00 373.81 142.28 520.00 511.90  
  13 ANGRA 2       1350. 100.    1.91   7.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1080.0 1080.0 1080.0 1080.0 1080.0 1062.9  
 211 BAIXADA FLU    530. 100.    6.98   6.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
   7 CARIOBA         36. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  97 CCBS             0. 100.    4.68   4.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 219 CCBS_L1        157. 100.    4.68   4.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00 062.87  58.90 062.87 062.87 062.87  15.72  
 220 CCBS_L13        59. 100.    4.68   4.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 023.53 023.53 023.53   5.88  
  12 CUIABA G CC    529. 100.   10.65  23.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 153 DAIA            44. 100.   20.25  18.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  65 DO ATLAN_CSA   255.  93.    1.08   4.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00 234.39 234.39 219.28   0.00 143.66 218.52  
 183 DO ATLANTICO   235.  93.    1.08   4.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00 201.50 201.50 201.50 201.50 201.50 201.50  
 213 EBOLT_L1       321. 100.   20.73   4.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 214 EBOLT_L13       65. 100.   20.73   4.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  62 ELETROBOLT       0. 100.   20.73   4.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 110 F.GASPARIAN    572.  97.   10.35   9.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 155 GOIANIA II     140. 100.   37.94  28.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  63 IBIRITERMO     226. 100.    7.22   8.61   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
   2 IGARAPE        131. 100.   33.47  10.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  54 JUIZ DE FORA    87. 100.    6.10   2.69   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  15 LINHARES       204. 100.    3.40   1.32   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 171 NORTEFLU-1     400. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 399.99 399.99 399.99 399.99 399.99  
 172 NORTEFLU-2     100. 100.    7.77   5.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 173 NORTEFLU-3     200. 100.    7.77   5.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 174 NORTEFLU-4     127. 100.    7.77   5.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 137 NOVO TEMPO       0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 229 ONCA PINTADA     0.  95.    3.19   5.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 182 PALMEIRAS GO   176.  80.   52.89   0.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
 230 PREDILECTA       0. 100.    0.37   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
   9 R.SILVEIRA      25. 100.   22.19  19.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
  86 ST.CRUZ NOVA   500. 100.    6.92   3.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00  
